year,round,country,bookmaker,odds
2015,final,ES,MATCHBOOK,NA
2015,final,ES,PADDYPOWER,81
2015,final,ES,PAF,34
2015,final,ES,SKYBET,81
2015,final,ES,SPORTINGBET,67
2015,final,ES,STANJAMES,51
2015,final,ES,TITANBET,67
2015,final,ES,UNIBET,34
2015,final,ES,YOUWIN,81
2015,final,FR,BET365,151
2015,final,FR,BETFAIR*EXCHANGE,694
2015,final,FR,BETFAIRSPORT,101
2015,final,FR,BETFRED,101
2015,final,FR,BETVICTOR,126
2015,final,FR,BETWAY,126
2015,final,FR,BOYLESPORTS,176
2015,final,FR,BWIN,201
2015,final,FR,CORAL,151
2015,final,FR,INTERTOPS,126
2015,final,FR,MATCHBOOK,496
2015,final,FR,PADDYPOWER,151
2015,final,FR,PAF,126
2015,final,FR,SKYBET,126
2015,final,FR,SPORTINGBET,101
2015,final,FR,STANJAMES,101
2015,final,FR,TITANBET,126
2015,final,FR,UNIBET,126
2015,final,FR,YOUWIN,126
2015,final,GB,BET365,151
2015,final,GB,BETFAIR*EXCHANGE,304
2015,final,GB,BETFAIRSPORT,81
2015,final,GB,BETFRED,101
2015,final,GB,BETVICTOR,81
2015,final,GB,BETWAY,101
2015,final,GB,BOYLESPORTS,126
2015,final,GB,BWIN,101
2015,final,GB,CORAL,41
2015,final,GB,INTERTOPS,81
2015,final,GB,MATCHBOOK,298
2015,final,GB,PADDYPOWER,41
2015,final,GB,PAF,101
2015,final,GB,SKYBET,126
2015,final,GB,SPORTINGBET,81
2015,final,GB,STANJAMES,67
2015,final,GB,TITANBET,81
2015,final,GB,UNIBET,101
2015,final,GB,YOUWIN,151
2015,final,GE,BET365,101
2015,final,GE,BETFAIR*EXCHANGE,285
2015,final,GE,BETFAIRSPORT,81
2015,final,GE,BETFRED,101
2015,final,GE,BETVICTOR,101
2015,final,GE,BETWAY,81
2015,final,GE,BOYLESPORTS,67
2015,final,GE,BWIN,67
2015,final,GE,CORAL,101
2015,final,GE,INTERTOPS,81
2015,final,GE,MATCHBOOK,199
2015,final,GE,PADDYPOWER,67
2015,final,GE,PAF,81
2015,final,GE,SKYBET,101
2015,final,GE,SPORTINGBET,101
2015,final,GE,STANJAMES,51
2015,final,GE,TITANBET,81
2015,final,GE,UNIBET,81
2015,final,GE,YOUWIN,151
2015,final,GR,BET365,151
2015,final,GR,BETFAIR*EXCHANGE,703
2015,final,GR,BETFAIRSPORT,101
2015,final,GR,BETFRED,101
2015,final,GR,BETVICTOR,126
2015,final,GR,BETWAY,101
2015,final,GR,BOYLESPORTS,101
2015,final,GR,BWIN,101
2015,final,GR,CORAL,126
2015,final,GR,INTERTOPS,101
2015,final,GR,MATCHBOOK,NA
2015,final,GR,PADDYPOWER,81
2015,final,GR,PAF,81
2015,final,GR,SKYBET,101
2015,final,GR,SPORTINGBET,101
2015,final,GR,STANJAMES,101
2015,final,GR,TITANBET,126
2015,final,GR,UNIBET,81
2015,final,GR,YOUWIN,126
2015,final,HU,BET365,151
2015,final,HU,BETFAIR*EXCHANGE,589
2015,final,HU,BETFAIRSPORT,101
2015,final,HU,BETFRED,101
2015,final,HU,BETVICTOR,151
2015,final,HU,BETWAY,126
2015,final,HU,BOYLESPORTS,126
2015,final,HU,BWIN,201
2015,final,HU,CORAL,126
