year,round,from_country,A,B,C,D,E,to_country
2016,final,UA,9,10,5,12,15,BG
2016,final,UA,22,17,22,25,18,HR
2016,final,UA,25,25,25,23,25,CY
2016,final,UA,15,14,18,15,12,CZ
2016,final,UA,11,22,10,14,13,FR
2016,final,UA,8,11,15,8,5,GE
2016,final,UA,24,23,24,22,23,DE
2016,final,UA,10,5,6,9,17,HU
2016,final,UA,5,6,7,3,3,IL
2016,final,UA,23,21,21,20,16,IT
2016,final,UA,2,4,4,4,6,LV
2016,final,UA,1,2,3,1,2,LT
2016,final,UA,17,20,19,18,22,MT
2016,final,UA,16,13,14,16,7,NL
2016,final,UA,12,16,9,6,9,PL
2016,final,UA,21,24,12,21,24,RU
2016,final,UA,13,18,20,17,14,RS
2016,final,UA,14,12,23,11,20,ES
2016,final,UA,7,9,8,10,8,SE
2016,final,UA,18,19,13,24,10,GB
2016,final,GB,15,24,22,7,18,AM
2016,final,GB,3,4,6,6,12,AU
2016,final,GB,23,18,15,12,13,AT
2016,final,GB,25,21,23,25,22,AZ
2016,final,GB,14,10,3,20,7,BE
2016,final,GB,10,3,4,21,9,BG
2016,final,GB,21,5,12,10,6,HR
2016,final,GB,1,11,7,2,16,CY
2016,final,GB,12,15,17,17,24,CZ
2016,final,GB,6,7,10,5,11,FR
2016,final,GB,2,2,2,3,1,GE
2016,final,GB,19,23,24,19,14,DE
2016,final,GB,4,20,14,23,15,HU
2016,final,GB,5,9,5,14,19,IL
2016,final,GB,13,22,20,18,25,IT
2016,final,GB,22,12,9,4,20,LV
2016,final,GB,7,19,8,13,3,LT
2016,final,GB,18,17,13,8,4,MT
2016,final,GB,8,8,19,15,17,NL
2016,final,GB,16,14,21,24,8,PL
2016,final,GB,20,13,16,11,2,RU
2016,final,GB,9,6,11,16,10,RS
2016,final,GB,17,16,18,22,21,ES
2016,final,GB,24,25,25,9,23,SE
2016,final,GB,11,1,1,1,5,UA
2017,semi-final-1,AL,3,7,5,2,5,AM
2017,semi-final-1,AL,12,2,7,5,9,AU
2017,semi-final-1,AL,5,6,2,10,3,AZ
2017,semi-final-1,AL,14,3,6,1,15,BE
2017,semi-final-1,AL,6,13,13,9,14,CY
2017,semi-final-1,AL,15,12,14,14,16,CZ
2017,semi-final-1,AL,13,9,15,7,10,FI
2017,semi-final-1,AL,4,10,16,8,8,GE
2017,semi-final-1,AL,1,8,1,11,4,GR
2017,semi-final-1,AL,17,17,17,13,12,IS
2017,semi-final-1,AL,16,16,12,17,7,LV
2017,semi-final-1,AL,2,4,4,6,1,MD
2017,semi-final-1,AL,10,14,10,16,2,ME
2017,semi-final-1,AL,9,11,3,12,6,PL
2017,semi-final-1,AL,8,1,11,3,11,PT
2017,semi-final-1,AL,11,15,9,15,17,SI
2017,semi-final-1,AL,7,5,8,4,13,SE
2017,semi-final-1,AM,16,13,15,16,16,AL
2017,semi-final-1,AM,12,14,8,10,7,AU
2017,semi-final-1,AM,17,17,17,17,17,AZ
2017,semi-final-1,AM,13,7,14,14,15,BE
2017,semi-final-1,AM,1,1,1,1,1,CY
2017,semi-final-1,AM,5,9,6,12,9,CZ
2017,semi-final-1,AM,10,12,11,8,13,FI
2017,semi-final-1,AM,2,5,5,9,6,GE
2017,semi-final-1,AM,4,2,2,2,2,GR
2017,semi-final-1,AM,6,10,10,7,11,IS
2017,semi-final-1,AM,15,15,13,13,8,LV
2017,semi-final-1,AM,3,3,3,3,3,MD
2017,semi-final-1,AM,14,16,16,15,14,ME
2017,semi-final-1,AM,9,11,9,6,12,PL
2017,semi-final-1,AM,7,4,4,5,4,PT
2017,semi-final-1,AM,11,8,12,11,10,SI
2017,semi-final-1,AM,8,6,7,4,5,SE
2017,semi-final-1,AU,17,17,16,17,17,AL
2017,semi-final-1,AU,6,9,3,3,11,AM
2017,semi-final-1,AU,9,10,13,7,4,AZ
2017,semi-final-1,AU,10,7,15,14,15,BE
2017,semi-final-1,AU,13,11,10,11,14,CY
2017,semi-final-1,AU,7,6,1,9,13,CZ
2017,semi-final-1,AU,3,5,12,4,5,FI
2017,semi-final-1,AU,15,12,6,16,6,GE
2017,semi-final-1,AU,4,13,11,10,12,GR
2017,semi-final-1,AU,12,14,9,5,7,IS
2017,semi-final-1,AU,11,8,14,13,10,LV
2017,semi-final-1,AU,2,3,7,1,2,MD
2017,semi-final-1,AU,16,16,17,15,16,ME
2017,semi-final-1,AU,5,1,5,2,1,PL
2017,semi-final-1,AU,8,4,2,8,8,PT
2017,semi-final-1,AU,14,15,8,12,3,SI
2017,semi-final-1,AU,1,2,4,6,9,SE
2017,semi-final-1,AZ,1,2,3,4,2,AL
2017,semi-final-1,AZ,17,17,17,17,17,AM
2017,semi-final-1,AZ,4,4,2,3,5,AU
2017,semi-final-1,AZ,15,15,14,14,14,BE
2017,semi-final-1,AZ,16,16,16,16,16,CY
2017,semi-final-1,AZ,7,7,6,6,9,CZ
2017,semi-final-1,AZ,11,10,10,11,11,FI
2017,semi-final-1,AZ,6,3,5,5,6,GE
2017,semi-final-1,AZ,14,14,15,15,15,GR
2017,semi-final-1,AZ,8,8,9,10,7,IS
2017,semi-final-1,AZ,10,11,11,9,10,LV
2017,semi-final-1,AZ,5,6,7,7,8,MD
2017,semi-final-1,AZ,3,5,4,2,3,ME
2017,semi-final-1,AZ,9,9,8,8,4,PL
2017,semi-final-1,AZ,2,1,1,1,1,PT
2017,semi-final-1,AZ,12,12,12,13,12,SI
2017,semi-final-1,AZ,13,13,13,12,13,SE
2017,semi-final-1,BE,17,17,14,3,13,AL
2017,semi-final-1,BE,10,10,12,12,17,AM
2017,semi-final-1,BE,5,3,4,2,1,AU
2017,semi-final-1,BE,1,4,2,16,7,AZ
2017,semi-final-1,BE,4,5,3,6,5,CY
2017,semi-final-1,BE,3,7,8,8,3,CZ
2017,semi-final-1,BE,11,16,11,10,8,FI
2017,semi-final-1,BE,9,11,9,4,10,GE
2017,semi-final-1,BE,12,14,10,9,16,GR
2017,semi-final-1,BE,8,8,7,13,9,IS
2017,semi-final-1,BE,16,15,17,14,11,LV
2017,semi-final-1,BE,14,9,15,7,6,MD
2017,semi-final-1,BE,15,12,16,17,14,ME
2017,semi-final-1,BE,7,6,5,5,12,PL
2017,semi-final-1,BE,6,2,6,11,4,PT
2017,semi-final-1,BE,13,13,13,15,15,SI
2017,semi-final-1,BE,2,1,1,1,2,SE
2017,semi-final-1,CY,15,16,16,16,17,AL
2017,semi-final-1,CY,7,6,5,6,10,AM
2017,semi-final-1,CY,6,3,2,8,8,AU
2017,semi-final-1,CY,4,5,7,9,12,AZ
2017,semi-final-1,CY,10,9,9,10,3,BE
2017,semi-final-1,CY,13,8,8,13,9,CZ
2017,semi-final-1,CY,5,10,4,7,4,FI
2017,semi-final-1,CY,12,17,14,14,6,GE
2017,semi-final-1,CY,2,1,6,1,2,GR
2017,semi-final-1,CY,9,12,10,15,7,IS
2017,semi-final-1,CY,11,15,15,12,11,LV
2017,semi-final-1,CY,16,11,11,4,15,MD
2017,semi-final-1,CY,17,13,17,17,16,ME
2017,semi-final-1,CY,8,4,12,11,13,PL
2017,semi-final-1,CY,1,7,1,3,1,PT
2017,semi-final-1,CY,14,14,13,5,14,SI
2017,semi-final-1,CY,3,2,3,2,5,SE
2017,semi-final-1,CZ,14,13,15,13,16,AL
2017,semi-final-1,CZ,12,12,11,15,13,AM
2017,semi-final-1,CZ,1,1,3,1,3,AU
2017,semi-final-1,CZ,8,16,6,7,6,AZ
2017,semi-final-1,CZ,6,14,8,10,11,BE
2017,semi-final-1,CZ,4,3,7,12,15,CY
2017,semi-final-1,CZ,11,11,9,8,12,FI
2017,semi-final-1,CZ,13,9,14,9,17,GE
2017,semi-final-1,CZ,10,17,5,14,10,GR
2017,semi-final-1,CZ,17,6,13,11,8,IS
2017,semi-final-1,CZ,16,10,17,16,14,LV
2017,semi-final-1,CZ,9,5,10,5,5,MD
2017,semi-final-1,CZ,7,15,16,6,7,ME
2017,semi-final-1,CZ,5,4,2,2,4,PL
2017,semi-final-1,CZ,3,8,4,4,2,PT
2017,semi-final-1,CZ,15,7,12,17,9,SI
2017,semi-final-1,CZ,2,2,1,3,1,SE
2017,semi-final-1,FI,11,17,12,16,13,AL
2017,semi-final-1,FI,10,9,8,8,5,AM
2017,semi-final-1,FI,2,1,6,4,4,AU
2017,semi-final-1,FI,13,15,14,11,8,AZ
2017,semi-final-1,FI,3,16,10,12,10,BE
2017,semi-final-1,FI,9,4,4,7,3,CY
2017,semi-final-1,FI,7,11,16,9,12,CZ
2017,semi-final-1,FI,14,6,3,13,7,GE
2017,semi-final-1,FI,16,12,9,15,14,GR
2017,semi-final-1,FI,4,10,13,6,6,IS
2017,semi-final-1,FI,12,7,15,17,17,LV
2017,semi-final-1,FI,17,5,5,3,9,MD
2017,semi-final-1,FI,15,14,17,14,16,ME
2017,semi-final-1,FI,8,13,2,10,11,PL
2017,semi-final-1,FI,1,3,7,1,2,PT
2017,semi-final-1,FI,6,8,11,5,15,SI
2017,semi-final-1,FI,5,2,1,2,1,SE
2017,semi-final-1,GE,17,17,15,14,17,AL
2017,semi-final-1,GE,3,11,4,10,4,AM
2017,semi-final-1,GE,12,9,3,9,3,AU
2017,semi-final-1,GE,4,1,2,6,2,AZ
2017,semi-final-1,GE,16,3,14,8,15,BE
2017,semi-final-1,GE,7,2,5,13,9,CY
2017,semi-final-1,GE,14,12,7,5,11,CZ
2017,semi-final-1,GE,15,6,13,11,5,FI
2017,semi-final-1,GE,13,7,17,16,8,GR
2017,semi-final-1,GE,9,10,8,7,12,IS
2017,semi-final-1,GE,8,16,11,15,13,LV
2017,semi-final-1,GE,5,14,9,12,6,MD
2017,semi-final-1,GE,11,15,16,3,16,ME
2017,semi-final-1,GE,10,8,10,17,10,PL
2017,semi-final-1,GE,1,4,1,1,1,PT
2017,semi-final-1,GE,2,13,6,4,14,SI
2017,semi-final-1,GE,6,5,12,2,7,SE
2017,semi-final-1,GR,6,3,5,4,5,AL
2017,semi-final-1,GR,7,2,3,1,3,AM
2017,semi-final-1,GR,9,5,11,11,11,AU
2017,semi-final-1,GR,2,4,4,7,7,AZ
2017,semi-final-1,GR,17,11,14,2,2,BE
2017,semi-final-1,GR,3,7,2,15,4,CY
2017,semi-final-1,GR,13,13,17,14,15,CZ
2017,semi-final-1,GR,14,10,10,8,13,FI
2017,semi-final-1,GR,8,9,8,6,9,GE
2017,semi-final-1,GR,15,17,16,17,17,IS
2017,semi-final-1,GR,4,12,9,10,14,LV
2017,semi-final-1,GR,12,8,7,5,8,MD
2017,semi-final-1,GR,5,6,6,3,6,ME
2017,semi-final-1,GR,10,15,13,9,10,PL
2017,semi-final-1,GR,11,14,1,12,1,PT
2017,semi-final-1,GR,16,16,15,13,16,SI
2017,semi-final-1,GR,1,1,12,16,12,SE
2017,semi-final-1,IS,13,8,15,11,16,AL
2017,semi-final-1,IS,14,15,14,9,4,AM
2017,semi-final-1,IS,7,5,2,3,2,AU
2017,semi-final-1,IS,2,6,10,5,10,AZ
2017,semi-final-1,IS,6,9,12,4,12,BE
2017,semi-final-1,IS,10,7,7,6,7,CY
2017,semi-final-1,IS,4,2,3,12,14,CZ
2017,semi-final-1,IS,8,11,11,2,11,FI
2017,semi-final-1,IS,3,4,5,10,6,GE
2017,semi-final-1,IS,9,13,8,7,8,GR
2017,semi-final-1,IS,17,17,16,16,15,LV
2017,semi-final-1,IS,12,10,6,13,9,MD
2017,semi-final-1,IS,16,16,17,17,13,ME
2017,semi-final-1,IS,11,14,9,14,3,PL
2017,semi-final-1,IS,1,1,1,1,1,PT
2017,semi-final-1,IS,15,12,13,15,17,SI
2017,semi-final-1,IS,5,3,4,8,5,SE
2017,semi-final-1,IT,9,1,5,4,2,AL
2017,semi-final-1,IT,5,6,1,10,4,AM
2017,semi-final-1,IT,6,11,14,9,13,AU
2017,semi-final-1,IT,4,2,3,3,1,AZ
2017,semi-final-1,IT,3,13,4,2,5,BE
2017,semi-final-1,IT,7,4,10,8,10,CY
2017,semi-final-1,IT,12,10,16,13,18,CZ
2017,semi-final-1,IT,11,12,13,14,12,FI
2017,semi-final-1,IT,14,8,15,5,7,GE
2017,semi-final-1,IT,17,15,9,12,8,GR
2017,semi-final-1,IT,15,16,11,16,11,IS
2017,semi-final-1,IT,13,17,18,17,17,LV
2017,semi-final-1,IT,8,3,2,6,6,MD
2017,semi-final-1,IT,10,18,7,15,14,ME
2017,semi-final-1,IT,16,9,12,11,15,PL
2017,semi-final-1,IT,1,7,8,7,9,PT
2017,semi-final-1,IT,18,14,17,18,16,SI
2017,semi-final-1,IT,2,5,6,1,3,SE
2017,semi-final-1,LV,17,16,17,17,16,AL
2017,semi-final-1,LV,7,11,7,4,7,AM
2017,semi-final-1,LV,2,6,3,3,2,AU
2017,semi-final-1,LV,15,12,12,7,4,AZ
2017,semi-final-1,LV,13,2,5,9,5,BE
2017,semi-final-1,LV,12,15,10,15,13,CY
2017,semi-final-1,LV,3,4,8,2,10,CZ
2017,semi-final-1,LV,14,3,15,10,8,FI
2017,semi-final-1,LV,11,10,11,12,11,GE
2017,semi-final-1,LV,9,9,13,13,15,GR
2017,semi-final-1,LV,5,5,2,5,6,IS
2017,semi-final-1,LV,4,7,6,8,3,MD
2017,semi-final-1,LV,16,17,16,16,17,ME
2017,semi-final-1,LV,8,8,9,11,9,PL
2017,semi-final-1,LV,1,1,1,1,1,PT
2017,semi-final-1,LV,6,14,14,14,14,SI
2017,semi-final-1,LV,10,13,4,6,12,SE
2017,semi-final-1,MD,10,17,16,6,11,AL
2017,semi-final-1,MD,2,4,2,4,5,AM
2017,semi-final-1,MD,5,3,7,7,7,AU
2017,semi-final-1,MD,6,12,3,9,15,AZ
2017,semi-final-1,MD,13,15,6,12,14,BE
2017,semi-final-1,MD,14,6,15,15,13,CY
2017,semi-final-1,MD,15,14,14,11,6,CZ
2017,semi-final-1,MD,7,10,4,14,12,FI
2017,semi-final-1,MD,8,9,10,2,3,GE
2017,semi-final-1,MD,4,8,5,5,4,GR
2017,semi-final-1,MD,11,13,9,10,8,IS
2017,semi-final-1,MD,17,11,11,16,9,LV
2017,semi-final-1,MD,16,16,17,17,17,ME
2017,semi-final-1,MD,9,7,12,13,10,PL
2017,semi-final-1,MD,1,1,1,1,1,PT
2017,semi-final-1,MD,12,5,13,8,16,SI
2017,semi-final-1,MD,3,2,8,3,2,SE
2017,semi-final-1,ME,1,7,1,8,10,AL
2017,semi-final-1,ME,4,12,11,4,3,AM
2017,semi-final-1,ME,17,10,10,1,2,AU
2017,semi-final-1,ME,11,5,4,11,5,AZ
2017,semi-final-1,ME,7,4,14,14,15,BE
2017,semi-final-1,ME,12,11,3,16,14,CY
2017,semi-final-1,ME,3,15,5,13,11,CZ
2017,semi-final-1,ME,5,17,16,15,16,FI
2017,semi-final-1,ME,14,3,15,10,8,GE
2017,semi-final-1,ME,8,1,8,5,1,GR
2017,semi-final-1,ME,10,2,7,17,13,IS
2017,semi-final-1,ME,6,16,6,12,17,LV
2017,semi-final-1,ME,9,6,12,7,4,MD
2017,semi-final-1,ME,13,13,17,9,9,PL
2017,semi-final-1,ME,15,9,2,6,7,PT
2017,semi-final-1,ME,16,8,9,3,12,SI
2017,semi-final-1,ME,2,14,13,2,6,SE
2017,semi-final-1,PL,13,16,15,10,15,AL
2017,semi-final-1,PL,3,12,5,5,6,AM
2017,semi-final-1,PL,1,3,9,3,4,AU
2017,semi-final-1,PL,6,6,11,12,14,AZ
2017,semi-final-1,PL,9,4,3,1,9,BE
2017,semi-final-1,PL,8,15,8,8,13,CY
2017,semi-final-1,PL,12,5,14,7,7,CZ
2017,semi-final-1,PL,4,11,10,11,11,FI
2017,semi-final-1,PL,5,1,1,6,1,GE
2017,semi-final-1,PL,11,10,2,14,10,GR
2017,semi-final-1,PL,7,13,12,13,8,IS
2017,semi-final-1,PL,14,14,16,17,16,LV
2017,semi-final-1,PL,17,7,13,4,12,MD
2017,semi-final-1,PL,15,17,17,16,17,ME
2017,semi-final-1,PL,2,2,4,2,2,PT
2017,semi-final-1,PL,10,8,6,15,5,SI
2017,semi-final-1,PL,16,9,7,9,3,SE
2017,semi-final-1,PT,17,15,15,17,15,AL
2017,semi-final-1,PT,14,6,12,7,3,AM
2017,semi-final-1,PT,2,7,5,3,8,AU
2017,semi-final-1,PT,1,1,3,13,5,AZ
2017,semi-final-1,PT,15,11,4,15,16,BE
2017,semi-final-1,PT,10,16,11,4,13,CY
2017,semi-final-1,PT,4,5,1,1,1,CZ
2017,semi-final-1,PT,3,2,7,6,6,FI
2017,semi-final-1,PT,12,4,14,11,4,GE
2017,semi-final-1,PT,7,10,8,12,9,GR
2017,semi-final-1,PT,8,12,10,8,14,IS
2017,semi-final-1,PT,13,13,9,16,11,LV
2017,semi-final-1,PT,6,8,2,2,2,MD
2017,semi-final-1,PT,11,17,17,9,17,ME
2017,semi-final-1,PT,9,9,13,10,10,PL
2017,semi-final-1,PT,16,14,16,14,12,SI
2017,semi-final-1,PT,5,3,6,5,7,SE
2017,semi-final-1,SI,15,11,10,11,12,AL
2017,semi-final-1,SI,7,13,6,8,11,AM
2017,semi-final-1,SI,3,2,9,2,2,AU
2017,semi-final-1,SI,11,10,4,6,9,AZ
2017,semi-final-1,SI,13,4,14,9,3,BE
2017,semi-final-1,SI,6,17,16,15,14,CY
2017,semi-final-1,SI,4,9,1,3,5,CZ
2017,semi-final-1,SI,10,5,5,4,4,FI
2017,semi-final-1,SI,9,8,3,1,7,GE
2017,semi-final-1,SI,14,14,11,16,15,GR
2017,semi-final-1,SI,12,12,7,10,8,IS
2017,semi-final-1,SI,16,16,15,14,13,LV
2017,semi-final-1,SI,8,7,13,13,16,MD
2017,semi-final-1,SI,17,15,17,17,17,ME
2017,semi-final-1,SI,5,6,8,7,6,PL
2017,semi-final-1,SI,2,3,2,5,10,PT
2017,semi-final-1,SI,1,1,12,12,1,SE
2017,semi-final-1,ES,16,16,15,12,15,AL
2017,semi-final-1,ES,9,14,8,16,9,AM
2017,semi-final-1,ES,6,5,3,3,3,AU
2017,semi-final-1,ES,7,4,7,7,5,AZ
2017,semi-final-1,ES,15,13,4,10,10,BE
2017,semi-final-1,ES,12,12,16,15,16,CY
2017,semi-final-1,ES,1,1,2,2,8,CZ
2017,semi-final-1,ES,14,17,10,14,14,FI
2017,semi-final-1,ES,8,8,14,11,13,GE
2017,semi-final-1,ES,4,6,12,6,1,GR
2017,semi-final-1,ES,10,9,13,9,12,IS
2017,semi-final-1,ES,17,15,17,18,17,LV
2017,semi-final-1,ES,2,7,5,5,4,MD
2017,semi-final-1,ES,18,18,18,17,18,ME
2017,semi-final-1,ES,11,11,9,13,11,PL
2017,semi-final-1,ES,3,2,1,1,2,PT
2017,semi-final-1,ES,5,3,11,8,6,SI
2017,semi-final-1,ES,13,10,6,4,7,SE
2017,semi-final-1,SE,10,16,7,17,13,AL
2017,semi-final-1,SE,16,15,8,13,4,AM
2017,semi-final-1,SE,1,6,3,1,3,AU
2017,semi-final-1,SE,15,8,12,12,6,AZ
2017,semi-final-1,SE,9,14,9,9,2,BE
2017,semi-final-1,SE,3,2,6,2,9,CY
2017,semi-final-1,SE,7,4,5,10,17,CZ
2017,semi-final-1,SE,6,7,2,11,8,FI
2017,semi-final-1,SE,5,12,4,7,7,GE
2017,semi-final-1,SE,13,11,16,14,10,GR
2017,semi-final-1,SE,4,10,15,5,12,IS
2017,semi-final-1,SE,8,13,17,16,11,LV
2017,semi-final-1,SE,2,1,10,4,5,MD
2017,semi-final-1,SE,12,17,14,6,16,ME
2017,semi-final-1,SE,14,5,13,8,14,PL
2017,semi-final-1,SE,11,9,1,15,1,PT
2017,semi-final-1,SE,17,3,11,3,15,SI
2017,semi-final-1,GB,18,9,17,15,16,AL
2017,semi-final-1,GB,10,7,1,12,12,AM
2017,semi-final-1,GB,6,8,10,2,10,AU
2017,semi-final-1,GB,17,4,15,9,14,AZ
2017,semi-final-1,GB,5,12,7,1,18,BE
2017,semi-final-1,GB,11,13,5,7,7,CY
2017,semi-final-1,GB,2,2,14,11,3,CZ
2017,semi-final-1,GB,7,16,6,17,11,FI
2017,semi-final-1,GB,12,6,12,8,9,GE
2017,semi-final-1,GB,13,14,13,14,8,GR
2017,semi-final-1,GB,3,10,9,10,17,IS
2017,semi-final-1,GB,15,18,11,5,4,LV
2017,semi-final-1,GB,8,5,4,3,1,MD
2017,semi-final-1,GB,14,17,18,18,6,ME
2017,semi-final-1,GB,9,11,3,13,5,PL
2017,semi-final-1,GB,1,1,2,6,15,PT
2017,semi-final-1,GB,4,15,16,16,2,SI
2017,semi-final-1,GB,16,3,8,4,13,SE
2017,semi-final-2,AT,7,13,4,4,6,BY
2017,semi-final-2,AT,4,1,1,1,3,BG
2017,semi-final-2,AT,6,9,10,10,11,HR
2017,semi-final-2,AT,14,8,9,5,12,DK
2017,semi-final-2,AT,2,6,14,14,9,EE
2017,semi-final-2,AT,13,4,6,6,10,HU
2017,semi-final-2,AT,3,2,2,9,4,IE
2017,semi-final-2,AT,9,12,12,7,15,IL
2017,semi-final-2,AT,17,16,8,12,13,LT
2017,semi-final-2,AT,10,3,13,8,2,MT
2017,semi-final-2,AT,1,10,7,2,1,NL
2017,semi-final-2,AT,16,17,16,16,17,MK
2017,semi-final-2,AT,11,15,3,3,5,NO
2017,semi-final-2,AT,8,5,17,17,14,RO
2017,semi-final-2,AT,15,14,11,11,16,SM
2017,semi-final-2,AT,12,11,15,15,7,RS
2017,semi-final-2,AT,5,7,5,13,8,CH
2017,semi-final-2,BY,5,4,4,5,5,AT
2017,semi-final-2,BY,1,1,3,1,1,BG
2017,semi-final-2,BY,8,10,13,6,7,HR
2017,semi-final-2,BY,10,6,10,10,12,DK
2017,semi-final-2,BY,9,12,8,12,9,EE
2017,semi-final-2,BY,13,9,9,11,13,HU
2017,semi-final-2,BY,11,13,14,14,15,IE
2017,semi-final-2,BY,12,11,11,9,8,IL
2017,semi-final-2,BY,4,5,5,3,3,LT
2017,semi-final-2,BY,7,7,7,7,6,MT
2017,semi-final-2,BY,3,3,1,4,4,NL
2017,semi-final-2,BY,14,17,17,16,16,MK
2017,semi-final-2,BY,2,2,2,2,2,NO
2017,semi-final-2,BY,17,14,15,15,14,RO
2017,semi-final-2,BY,16,16,16,17,17,SM
2017,semi-final-2,BY,6,8,6,8,10,RS
2017,semi-final-2,BY,15,15,12,13,11,CH
2017,semi-final-2,BG,1,1,5,1,3,AT
2017,semi-final-2,BG,12,10,11,14,13,BY
2017,semi-final-2,BG,3,4,3,13,8,HR
2017,semi-final-2,BG,9,3,10,10,10,DK
2017,semi-final-2,BG,13,12,15,15,15,EE
2017,semi-final-2,BG,17,15,17,11,17,HU
2017,semi-final-2,BG,10,9,12,8,7,IE
2017,semi-final-2,BG,2,5,2,2,1,IL
2017,semi-final-2,BG,14,11,13,16,14,LT
2017,semi-final-2,BG,7,6,6,4,4,MT
2017,semi-final-2,BG,4,2,1,3,2,NL
2017,semi-final-2,BG,6,17,14,6,6,MK
2017,semi-final-2,BG,5,8,4,9,11,NO
2017,semi-final-2,BG,16,14,9,17,16,RO
2017,semi-final-2,BG,8,16,16,12,9,SM
2017,semi-final-2,BG,15,13,8,5,5,RS
2017,semi-final-2,BG,11,7,7,7,12,CH
2017,semi-final-2,HR,5,9,5,4,5,AT
2017,semi-final-2,HR,3,3,7,6,3,BY
2017,semi-final-2,HR,6,5,6,3,7,BG
2017,semi-final-2,HR,4,2,4,5,6,DK
2017,semi-final-2,HR,16,12,15,13,14,EE
2017,semi-final-2,HR,2,4,1,2,1,HU
2017,semi-final-2,HR,14,17,10,16,16,IE
2017,semi-final-2,HR,7,6,8,7,8,IL
2017,semi-final-2,HR,12,11,12,8,12,LT
2017,semi-final-2,HR,10,8,14,12,9,MT
2017,semi-final-2,HR,1,1,3,1,2,NL
2017,semi-final-2,HR,13,14,11,14,11,MK
2017,semi-final-2,HR,8,10,2,11,4,NO
2017,semi-final-2,HR,17,16,17,17,17,RO
2017,semi-final-2,HR,11,13,16,15,13,SM
2017,semi-final-2,HR,9,15,9,10,10,RS
2017,semi-final-2,HR,15,7,13,9,15,CH
2017,semi-final-2,DK,5,5,6,3,9,AT
2017,semi-final-2,DK,9,9,12,5,15,BY
2017,semi-final-2,DK,10,1,4,11,5,BG
2017,semi-final-2,DK,12,10,10,10,14,HR
2017,semi-final-2,DK,13,4,15,8,8,EE
2017,semi-final-2,DK,7,13,11,6,7,HU
2017,semi-final-2,DK,8,11,9,4,16,IE
2017,semi-final-2,DK,6,6,3,14,4,IL
2017,semi-final-2,DK,14,17,13,15,6,LT
2017,semi-final-2,DK,3,14,7,13,13,MT
2017,semi-final-2,DK,2,2,8,7,2,NL
2017,semi-final-2,DK,15,12,14,9,11,MK
2017,semi-final-2,DK,1,7,1,1,3,NO
2017,semi-final-2,DK,16,16,17,17,17,RO
2017,semi-final-2,DK,17,15,16,16,10,SM
2017,semi-final-2,DK,4,3,2,2,12,RS
2017,semi-final-2,DK,11,8,5,12,1,CH
2017,semi-final-2,EE,6,6,1,5,13,AT
2017,semi-final-2,EE,9,12,17,13,15,BY
2017,semi-final-2,EE,1,3,2,1,1,BG
2017,semi-final-2,EE,10,10,12,11,11,HR
2017,semi-final-2,EE,8,2,5,3,2,DK
2017,semi-final-2,EE,11,8,13,6,9,HU
2017,semi-final-2,EE,3,4,7,9,6,IE
2017,semi-final-2,EE,13,14,11,12,14,IL
2017,semi-final-2,EE,5,15,16,15,16,LT
2017,semi-final-2,EE,7,7,6,10,8,MT
2017,semi-final-2,EE,15,5,4,4,3,NL
2017,semi-final-2,EE,16,13,10,14,7,MK
2017,semi-final-2,EE,2,1,3,2,5,NO
2017,semi-final-2,EE,14,17,14,16,4,RO
2017,semi-final-2,EE,12,16,15,17,17,SM
2017,semi-final-2,EE,17,9,9,7,12,RS
2017,semi-final-2,EE,4,11,8,8,10,CH
2017,semi-final-2,FR,8,8,5,3,10,AT
2017,semi-final-2,FR,3,3,14,4,4,BY
2017,semi-final-2,FR,11,7,1,5,7,BG
2017,semi-final-2,FR,18,13,15,6,15,HR
2017,semi-final-2,FR,9,12,3,2,11,DK
2017,semi-final-2,FR,7,15,10,17,5,EE
2017,semi-final-2,FR,14,14,11,9,13,HU
2017,semi-final-2,FR,10,16,17,13,12,IE
2017,semi-final-2,FR,5,2,9,10,2,IL
2017,semi-final-2,FR,15,17,16,16,17,LT
2017,semi-final-2,FR,2,11,2,14,3,MT
2017,semi-final-2,FR,13,4,6,1,8,NL
2017,semi-final-2,FR,1,5,8,15,1,MK
2017,semi-final-2,FR,6,1,12,8,9,NO
2017,semi-final-2,FR,16,10,4,7,14,RO
2017,semi-final-2,FR,17,18,18,18,18,SM
2017,semi-final-2,FR,4,9,13,11,6,RS
2017,semi-final-2,FR,12,6,7,12,16,CH
2017,semi-final-2,DE,5,5,7,8,4,AT
2017,semi-final-2,DE,18,11,15,15,12,BY
2017,semi-final-2,DE,4,4,2,2,2,BG
2017,semi-final-2,DE,1,6,13,4,6,HR
2017,semi-final-2,DE,14,7,10,9,8,DK
2017,semi-final-2,DE,8,15,11,12,16,EE
2017,semi-final-2,DE,13,14,9,11,10,HU
2017,semi-final-2,DE,7,10,4,5,7,IE
2017,semi-final-2,DE,9,9,16,14,18,IL
2017,semi-final-2,DE,15,16,14,13,15,LT
2017,semi-final-2,DE,6,8,8,7,11,MT
2017,semi-final-2,DE,2,3,5,3,5,NL
2017,semi-final-2,DE,12,18,18,17,14,MK
2017,semi-final-2,DE,3,1,1,1,1,NO
2017,semi-final-2,DE,17,17,17,18,13,RO
2017,semi-final-2,DE,16,13,12,16,17,SM
2017,semi-final-2,DE,10,2,6,6,3,RS
2017,semi-final-2,DE,11,12,3,10,9,CH
