Country,juror_A,juror_B,juror_C,juror_D,juror_E,act,night,city,year
Belgium,9,16,9,10,13,sweden,grand-final,stockholm,2016
Bulgaria,19,4,14,17,7,sweden,grand-final,stockholm,2016
Croatia,8,7,18,11,15,sweden,grand-final,stockholm,2016
Cyprus,24,12,13,23,22,sweden,grand-final,stockholm,2016
Czechia,6,18,11,7,8,sweden,grand-final,stockholm,2016
France,2,10,5,3,9,sweden,grand-final,stockholm,2016
Georgia,23,24,22,24,17,sweden,grand-final,stockholm,2016
Germany,20,20,23,16,25,sweden,grand-final,stockholm,2016
Hungary,18,19,17,18,14,sweden,grand-final,stockholm,2016
Israel,21,5,10,19,16,sweden,grand-final,stockholm,2016
Italy,17,15,24,13,23,sweden,grand-final,stockholm,2016
Latvia,14,17,16,25,12,sweden,grand-final,stockholm,2016
Lithuania,13,2,7,12,18,sweden,grand-final,stockholm,2016
Malta,4,14,3,8,4,sweden,grand-final,stockholm,2016
Netherlands,5,3,12,6,10,sweden,grand-final,stockholm,2016
Poland,25,21,25,20,24,sweden,grand-final,stockholm,2016
Russia,7,8,8,4,6,sweden,grand-final,stockholm,2016
Serbia,16,22,19,22,20,sweden,grand-final,stockholm,2016
Spain,15,23,2,14,2,sweden,grand-final,stockholm,2016
Ukraine,3,13,20,21,19,sweden,grand-final,stockholm,2016
UnitedKingdom,22,25,15,15,11,sweden,grand-final,stockholm,2016
Armenia,22,14,25,8,19,switzerland,grand-final,stockholm,2016
Australia,6,1,3,2,2,switzerland,grand-final,stockholm,2016
Austria,1,2,24,5,15,switzerland,grand-final,stockholm,2016
Azerbaijan,19,19,9,21,23,switzerland,grand-final,stockholm,2016
Belgium,7,5,5,3,1,switzerland,grand-final,stockholm,2016
Bulgaria,13,17,1,20,9,switzerland,grand-final,stockholm,2016
Croatia,23,26,22,26,16,switzerland,grand-final,stockholm,2016
Cyprus,25,20,15,25,22,switzerland,grand-final,stockholm,2016
Czechia,21,21,8,18,12,switzerland,grand-final,stockholm,2016
France,17,22,16,11,17,switzerland,grand-final,stockholm,2016
Georgia,26,24,26,16,6,switzerland,grand-final,stockholm,2016
Germany,15,18,6,23,14,switzerland,grand-final,stockholm,2016
Hungary,14,25,11,22,25,switzerland,grand-final,stockholm,2016
Israel,4,6,2,4,10,switzerland,grand-final,stockholm,2016
Italy,3,9,20,19,3,switzerland,grand-final,stockholm,2016
Latvia,20,10,7,7,4,switzerland,grand-final,stockholm,2016
Lithuania,2,4,4,9,11,switzerland,grand-final,stockholm,2016
Malta,16,15,23,17,21,switzerland,grand-final,stockholm,2016
Netherlands,5,11,10,6,13,switzerland,grand-final,stockholm,2016
Poland,24,23,13,24,24,switzerland,grand-final,stockholm,2016
Russia,8,12,21,13,26,switzerland,grand-final,stockholm,2016
Serbia,18,16,14,10,7,switzerland,grand-final,stockholm,2016
Spain,11,8,17,15,20,switzerland,grand-final,stockholm,2016
Sweden,12,7,12,12,18,switzerland,grand-final,stockholm,2016
Ukraine,10,3,18,1,5,switzerland,grand-final,stockholm,2016
UnitedKingdom,9,13,19,14,8,switzerland,grand-final,stockholm,2016
Armenia,20,7,17,13,21,ukraine,grand-final,stockholm,2016
Australia,6,8,2,7,11,ukraine,grand-final,stockholm,2016
Austria,19,15,16,19,19,ukraine,grand-final,stockholm,2016
Azerbaijan,4,3,11,2,4,ukraine,grand-final,stockholm,2016
Belgium,3,1,1,5,1,ukraine,grand-final,stockholm,2016
Bulgaria,9,10,5,12,15,ukraine,grand-final,stockholm,2016
Croatia,22,17,22,25,18,ukraine,grand-final,stockholm,2016
Cyprus,25,25,25,23,25,ukraine,grand-final,stockholm,2016
Czechia,15,14,18,15,12,ukraine,grand-final,stockholm,2016
France,11,22,10,14,13,ukraine,grand-final,stockholm,2016
Georgia,8,11,15,8,5,ukraine,grand-final,stockholm,2016
Germany,24,23,24,22,23,ukraine,grand-final,stockholm,2016
Hungary,10,5,6,9,17,ukraine,grand-final,stockholm,2016
Israel,5,6,7,3,3,ukraine,grand-final,stockholm,2016
Italy,23,21,21,20,16,ukraine,grand-final,stockholm,2016
Latvia,2,4,4,4,6,ukraine,grand-final,stockholm,2016
Lithuania,1,2,3,1,2,ukraine,grand-final,stockholm,2016
Malta,17,20,19,18,22,ukraine,grand-final,stockholm,2016
Netherlands,16,13,14,16,7,ukraine,grand-final,stockholm,2016
Poland,12,16,9,6,9,ukraine,grand-final,stockholm,2016
Russia,21,24,12,21,24,ukraine,grand-final,stockholm,2016
Serbia,13,18,20,17,14,ukraine,grand-final,stockholm,2016
Spain,14,12,23,11,20,ukraine,grand-final,stockholm,2016
Sweden,7,9,8,10,8,ukraine,grand-final,stockholm,2016
UnitedKingdom,18,19,13,24,10,ukraine,grand-final,stockholm,2016
Armenia,15,24,22,7,18,united-kingdom,grand-final,stockholm,2016
Australia,3,4,6,6,12,united-kingdom,grand-final,stockholm,2016
Austria,23,18,15,12,13,united-kingdom,grand-final,stockholm,2016
Azerbaijan,25,21,23,25,22,united-kingdom,grand-final,stockholm,2016
Belgium,14,10,3,20,7,united-kingdom,grand-final,stockholm,2016
Bulgaria,10,3,4,21,9,united-kingdom,grand-final,stockholm,2016
Croatia,21,5,12,10,6,united-kingdom,grand-final,stockholm,2016
Cyprus,1,11,7,2,16,united-kingdom,grand-final,stockholm,2016
Czechia,12,15,17,17,24,united-kingdom,grand-final,stockholm,2016
France,6,7,10,5,11,united-kingdom,grand-final,stockholm,2016
Georgia,2,2,2,3,1,united-kingdom,grand-final,stockholm,2016
Germany,19,23,24,19,14,united-kingdom,grand-final,stockholm,2016
Hungary,4,20,14,23,15,united-kingdom,grand-final,stockholm,2016
Israel,5,9,5,14,19,united-kingdom,grand-final,stockholm,2016
Italy,13,22,20,18,25,united-kingdom,grand-final,stockholm,2016
Latvia,22,12,9,4,20,united-kingdom,grand-final,stockholm,2016
Lithuania,7,19,8,13,3,united-kingdom,grand-final,stockholm,2016
Malta,18,17,13,8,4,united-kingdom,grand-final,stockholm,2016
Netherlands,8,8,19,15,17,united-kingdom,grand-final,stockholm,2016
Poland,16,14,21,24,8,united-kingdom,grand-final,stockholm,2016
Russia,20,13,16,11,2,united-kingdom,grand-final,stockholm,2016
Serbia,9,6,11,16,10,united-kingdom,grand-final,stockholm,2016
Spain,17,16,18,22,21,united-kingdom,grand-final,stockholm,2016
Sweden,24,25,25,9,23,united-kingdom,grand-final,stockholm,2016
Ukraine,11,1,1,1,5,united-kingdom,grand-final,stockholm,2016
Armenia,3,7,5,2,5,albania,first-semi-final,kyiv,2017
Australia,12,2,7,5,9,albania,first-semi-final,kyiv,2017
Azerbaijan,5,6,2,10,3,albania,first-semi-final,kyiv,2017
Belgium,14,3,6,1,15,albania,first-semi-final,kyiv,2017
Cyprus,6,13,13,9,14,albania,first-semi-final,kyiv,2017
Czechia,15,12,14,14,16,albania,first-semi-final,kyiv,2017
Finland,13,9,15,7,10,albania,first-semi-final,kyiv,2017
Georgia,4,10,16,8,8,albania,first-semi-final,kyiv,2017
Greece,1,8,1,11,4,albania,first-semi-final,kyiv,2017
Iceland,17,17,17,13,12,albania,first-semi-final,kyiv,2017
Latvia,16,16,12,17,7,albania,first-semi-final,kyiv,2017
Moldova,2,4,4,6,1,albania,first-semi-final,kyiv,2017
Montenegro,10,14,10,16,2,albania,first-semi-final,kyiv,2017
Poland,9,11,3,12,6,albania,first-semi-final,kyiv,2017
Portugal,8,1,11,3,11,albania,first-semi-final,kyiv,2017
Slovenia,11,15,9,15,17,albania,first-semi-final,kyiv,2017
Sweden,7,5,8,4,13,albania,first-semi-final,kyiv,2017
Albania,16,13,15,16,16,armenia,first-semi-final,kyiv,2017
Australia,12,14,8,10,7,armenia,first-semi-final,kyiv,2017
Azerbaijan,17,17,17,17,17,armenia,first-semi-final,kyiv,2017
Belgium,13,7,14,14,15,armenia,first-semi-final,kyiv,2017
Cyprus,1,1,1,1,1,armenia,first-semi-final,kyiv,2017
Czechia,5,9,6,12,9,armenia,first-semi-final,kyiv,2017
Finland,10,12,11,8,13,armenia,first-semi-final,kyiv,2017
Georgia,2,5,5,9,6,armenia,first-semi-final,kyiv,2017
Greece,4,2,2,2,2,armenia,first-semi-final,kyiv,2017
Iceland,6,10,10,7,11,armenia,first-semi-final,kyiv,2017
Latvia,15,15,13,13,8,armenia,first-semi-final,kyiv,2017
Moldova,3,3,3,3,3,armenia,first-semi-final,kyiv,2017
Montenegro,14,16,16,15,14,armenia,first-semi-final,kyiv,2017
Poland,9,11,9,6,12,armenia,first-semi-final,kyiv,2017
Portugal,7,4,4,5,4,armenia,first-semi-final,kyiv,2017
Slovenia,11,8,12,11,10,armenia,first-semi-final,kyiv,2017
Sweden,8,6,7,4,5,armenia,first-semi-final,kyiv,2017
Albania,17,17,16,17,17,australia,first-semi-final,kyiv,2017
Armenia,6,9,3,3,11,australia,first-semi-final,kyiv,2017
Azerbaijan,9,10,13,7,4,australia,first-semi-final,kyiv,2017
Belgium,10,7,15,14,15,australia,first-semi-final,kyiv,2017
Cyprus,13,11,10,11,14,australia,first-semi-final,kyiv,2017
Czechia,7,6,1,9,13,australia,first-semi-final,kyiv,2017
Finland,3,5,12,4,5,australia,first-semi-final,kyiv,2017
Georgia,15,12,6,16,6,australia,first-semi-final,kyiv,2017
Greece,4,13,11,10,12,australia,first-semi-final,kyiv,2017
Iceland,12,14,9,5,7,australia,first-semi-final,kyiv,2017
Latvia,11,8,14,13,10,australia,first-semi-final,kyiv,2017
Moldova,2,3,7,1,2,australia,first-semi-final,kyiv,2017
Montenegro,16,16,17,15,16,australia,first-semi-final,kyiv,2017
Poland,5,1,5,2,1,australia,first-semi-final,kyiv,2017
Portugal,8,4,2,8,8,australia,first-semi-final,kyiv,2017
Slovenia,14,15,8,12,3,australia,first-semi-final,kyiv,2017
Sweden,1,2,4,6,9,australia,first-semi-final,kyiv,2017
Albania,1,2,3,4,2,azerbaijan,first-semi-final,kyiv,2017
Armenia,17,17,17,17,17,azerbaijan,first-semi-final,kyiv,2017
Australia,4,4,2,3,5,azerbaijan,first-semi-final,kyiv,2017
Belgium,15,15,14,14,14,azerbaijan,first-semi-final,kyiv,2017
Cyprus,16,16,16,16,16,azerbaijan,first-semi-final,kyiv,2017
Czechia,7,7,6,6,9,azerbaijan,first-semi-final,kyiv,2017
Finland,11,10,10,11,11,azerbaijan,first-semi-final,kyiv,2017
Georgia,6,3,5,5,6,azerbaijan,first-semi-final,kyiv,2017
Greece,14,14,15,15,15,azerbaijan,first-semi-final,kyiv,2017
Iceland,8,8,9,10,7,azerbaijan,first-semi-final,kyiv,2017
Latvia,10,11,11,9,10,azerbaijan,first-semi-final,kyiv,2017
Moldova,5,6,7,7,8,azerbaijan,first-semi-final,kyiv,2017
Montenegro,3,5,4,2,3,azerbaijan,first-semi-final,kyiv,2017
Poland,9,9,8,8,4,azerbaijan,first-semi-final,kyiv,2017
Portugal,2,1,1,1,1,azerbaijan,first-semi-final,kyiv,2017
Slovenia,12,12,12,13,12,azerbaijan,first-semi-final,kyiv,2017
Sweden,13,13,13,12,13,azerbaijan,first-semi-final,kyiv,2017
Albania,17,17,14,3,13,belgium,first-semi-final,kyiv,2017
Armenia,10,10,12,12,17,belgium,first-semi-final,kyiv,2017
Australia,5,3,4,2,1,belgium,first-semi-final,kyiv,2017
Azerbaijan,1,4,2,16,7,belgium,first-semi-final,kyiv,2017
Cyprus,4,5,3,6,5,belgium,first-semi-final,kyiv,2017
Czechia,3,7,8,8,3,belgium,first-semi-final,kyiv,2017
Finland,11,16,11,10,8,belgium,first-semi-final,kyiv,2017
Georgia,9,11,9,4,10,belgium,first-semi-final,kyiv,2017
Greece,12,14,10,9,16,belgium,first-semi-final,kyiv,2017
Iceland,8,8,7,13,9,belgium,first-semi-final,kyiv,2017
Latvia,16,15,17,14,11,belgium,first-semi-final,kyiv,2017
Moldova,14,9,15,7,6,belgium,first-semi-final,kyiv,2017
Montenegro,15,12,16,17,14,belgium,first-semi-final,kyiv,2017
Poland,7,6,5,5,12,belgium,first-semi-final,kyiv,2017
Portugal,6,2,6,11,4,belgium,first-semi-final,kyiv,2017
Slovenia,13,13,13,15,15,belgium,first-semi-final,kyiv,2017
Sweden,2,1,1,1,2,belgium,first-semi-final,kyiv,2017
Albania,15,16,16,16,17,cyprus,first-semi-final,kyiv,2017
Armenia,7,6,5,6,10,cyprus,first-semi-final,kyiv,2017
Australia,6,3,2,8,8,cyprus,first-semi-final,kyiv,2017
Azerbaijan,4,5,7,9,12,cyprus,first-semi-final,kyiv,2017
Belgium,10,9,9,10,3,cyprus,first-semi-final,kyiv,2017
Czechia,13,8,8,13,9,cyprus,first-semi-final,kyiv,2017
Finland,5,10,4,7,4,cyprus,first-semi-final,kyiv,2017
Georgia,12,17,14,14,6,cyprus,first-semi-final,kyiv,2017
Greece,2,1,6,1,2,cyprus,first-semi-final,kyiv,2017
Iceland,9,12,10,15,7,cyprus,first-semi-final,kyiv,2017
Latvia,11,15,15,12,11,cyprus,first-semi-final,kyiv,2017
Moldova,16,11,11,4,15,cyprus,first-semi-final,kyiv,2017
Montenegro,17,13,17,17,16,cyprus,first-semi-final,kyiv,2017
Poland,8,4,12,11,13,cyprus,first-semi-final,kyiv,2017
Portugal,1,7,1,3,1,cyprus,first-semi-final,kyiv,2017
Slovenia,14,14,13,5,14,cyprus,first-semi-final,kyiv,2017
Sweden,3,2,3,2,5,cyprus,first-semi-final,kyiv,2017
Albania,14,13,15,13,16,czechia,first-semi-final,kyiv,2017
Armenia,12,12,11,15,13,czechia,first-semi-final,kyiv,2017
Australia,1,1,3,1,3,czechia,first-semi-final,kyiv,2017
Azerbaijan,8,16,6,7,6,czechia,first-semi-final,kyiv,2017
Belgium,6,14,8,10,11,czechia,first-semi-final,kyiv,2017
Cyprus,4,3,7,12,15,czechia,first-semi-final,kyiv,2017
Finland,11,11,9,8,12,czechia,first-semi-final,kyiv,2017
Georgia,13,9,14,9,17,czechia,first-semi-final,kyiv,2017
Greece,10,17,5,14,10,czechia,first-semi-final,kyiv,2017
Iceland,17,6,13,11,8,czechia,first-semi-final,kyiv,2017
Latvia,16,10,17,16,14,czechia,first-semi-final,kyiv,2017
Moldova,9,5,10,5,5,czechia,first-semi-final,kyiv,2017
Montenegro,7,15,16,6,7,czechia,first-semi-final,kyiv,2017
Poland,5,4,2,2,4,czechia,first-semi-final,kyiv,2017
Portugal,3,8,4,4,2,czechia,first-semi-final,kyiv,2017
Slovenia,15,7,12,17,9,czechia,first-semi-final,kyiv,2017
Sweden,2,2,1,3,1,czechia,first-semi-final,kyiv,2017
Albania,11,17,12,16,13,finland,first-semi-final,kyiv,2017
Armenia,10,9,8,8,5,finland,first-semi-final,kyiv,2017
Australia,2,1,6,4,4,finland,first-semi-final,kyiv,2017
Azerbaijan,13,15,14,11,8,finland,first-semi-final,kyiv,2017
Belgium,3,16,10,12,10,finland,first-semi-final,kyiv,2017
Cyprus,9,4,4,7,3,finland,first-semi-final,kyiv,2017
Czechia,7,11,16,9,12,finland,first-semi-final,kyiv,2017
Georgia,14,6,3,13,7,finland,first-semi-final,kyiv,2017
Greece,16,12,9,15,14,finland,first-semi-final,kyiv,2017
Iceland,4,10,13,6,6,finland,first-semi-final,kyiv,2017
Latvia,12,7,15,17,17,finland,first-semi-final,kyiv,2017
Moldova,17,5,5,3,9,finland,first-semi-final,kyiv,2017
Montenegro,15,14,17,14,16,finland,first-semi-final,kyiv,2017
Poland,8,13,2,10,11,finland,first-semi-final,kyiv,2017
Portugal,1,3,7,1,2,finland,first-semi-final,kyiv,2017
Slovenia,6,8,11,5,15,finland,first-semi-final,kyiv,2017
Sweden,5,2,1,2,1,finland,first-semi-final,kyiv,2017
Albania,17,17,15,14,17,georgia,first-semi-final,kyiv,2017
Armenia,3,11,4,10,4,georgia,first-semi-final,kyiv,2017
Australia,12,9,3,9,3,georgia,first-semi-final,kyiv,2017
Azerbaijan,4,1,2,6,2,georgia,first-semi-final,kyiv,2017
Belgium,16,3,14,8,15,georgia,first-semi-final,kyiv,2017
Cyprus,7,2,5,13,9,georgia,first-semi-final,kyiv,2017
Czechia,14,12,7,5,11,georgia,first-semi-final,kyiv,2017
Finland,15,6,13,11,5,georgia,first-semi-final,kyiv,2017
Greece,13,7,17,16,8,georgia,first-semi-final,kyiv,2017
Iceland,9,10,8,7,12,georgia,first-semi-final,kyiv,2017
Latvia,8,16,11,15,13,georgia,first-semi-final,kyiv,2017
Moldova,5,14,9,12,6,georgia,first-semi-final,kyiv,2017
Montenegro,11,15,16,3,16,georgia,first-semi-final,kyiv,2017
Poland,10,8,10,17,10,georgia,first-semi-final,kyiv,2017
Portugal,1,4,1,1,1,georgia,first-semi-final,kyiv,2017
Slovenia,2,13,6,4,14,georgia,first-semi-final,kyiv,2017
Sweden,6,5,12,2,7,georgia,first-semi-final,kyiv,2017
Albania,6,3,5,4,5,greece,first-semi-final,kyiv,2017
Armenia,7,2,3,1,3,greece,first-semi-final,kyiv,2017
Australia,9,5,11,11,11,greece,first-semi-final,kyiv,2017
Azerbaijan,2,4,4,7,7,greece,first-semi-final,kyiv,2017
Belgium,17,11,14,2,2,greece,first-semi-final,kyiv,2017
Cyprus,3,7,2,15,4,greece,first-semi-final,kyiv,2017
Czechia,13,13,17,14,15,greece,first-semi-final,kyiv,2017
Finland,14,10,10,8,13,greece,first-semi-final,kyiv,2017
Georgia,8,9,8,6,9,greece,first-semi-final,kyiv,2017
Iceland,15,17,16,17,17,greece,first-semi-final,kyiv,2017
Latvia,4,12,9,10,14,greece,first-semi-final,kyiv,2017
Moldova,12,8,7,5,8,greece,first-semi-final,kyiv,2017
Montenegro,5,6,6,3,6,greece,first-semi-final,kyiv,2017
Poland,10,15,13,9,10,greece,first-semi-final,kyiv,2017
Portugal,11,14,1,12,1,greece,first-semi-final,kyiv,2017
Slovenia,16,16,15,13,16,greece,first-semi-final,kyiv,2017
Sweden,1,1,12,16,12,greece,first-semi-final,kyiv,2017
Albania,13,8,15,11,16,iceland,first-semi-final,kyiv,2017
Armenia,14,15,14,9,4,iceland,first-semi-final,kyiv,2017
Australia,7,5,2,3,2,iceland,first-semi-final,kyiv,2017
Azerbaijan,2,6,10,5,10,iceland,first-semi-final,kyiv,2017
Belgium,6,9,12,4,12,iceland,first-semi-final,kyiv,2017
Cyprus,10,7,7,6,7,iceland,first-semi-final,kyiv,2017
Czechia,4,2,3,12,14,iceland,first-semi-final,kyiv,2017
Finland,8,11,11,2,11,iceland,first-semi-final,kyiv,2017
Georgia,3,4,5,10,6,iceland,first-semi-final,kyiv,2017
Greece,9,13,8,7,8,iceland,first-semi-final,kyiv,2017
Latvia,17,17,16,16,15,iceland,first-semi-final,kyiv,2017
Moldova,12,10,6,13,9,iceland,first-semi-final,kyiv,2017
Montenegro,16,16,17,17,13,iceland,first-semi-final,kyiv,2017
Poland,11,14,9,14,3,iceland,first-semi-final,kyiv,2017
Portugal,1,1,1,1,1,iceland,first-semi-final,kyiv,2017
Slovenia,15,12,13,15,17,iceland,first-semi-final,kyiv,2017
Sweden,5,3,4,8,5,iceland,first-semi-final,kyiv,2017
Albania,9,1,5,4,2,italy,first-semi-final,kyiv,2017
Armenia,5,6,1,10,4,italy,first-semi-final,kyiv,2017
Australia,6,11,14,9,13,italy,first-semi-final,kyiv,2017
Azerbaijan,4,2,3,3,1,italy,first-semi-final,kyiv,2017
Belgium,3,13,4,2,5,italy,first-semi-final,kyiv,2017
Cyprus,7,4,10,8,10,italy,first-semi-final,kyiv,2017
Czechia,12,10,16,13,18,italy,first-semi-final,kyiv,2017
Finland,11,12,13,14,12,italy,first-semi-final,kyiv,2017
Georgia,14,8,15,5,7,italy,first-semi-final,kyiv,2017
Greece,17,15,9,12,8,italy,first-semi-final,kyiv,2017
Iceland,15,16,11,16,11,italy,first-semi-final,kyiv,2017
Latvia,13,17,18,17,17,italy,first-semi-final,kyiv,2017
Moldova,8,3,2,6,6,italy,first-semi-final,kyiv,2017
Montenegro,10,18,7,15,14,italy,first-semi-final,kyiv,2017
Poland,16,9,12,11,15,italy,first-semi-final,kyiv,2017
Portugal,1,7,8,7,9,italy,first-semi-final,kyiv,2017
Slovenia,18,14,17,18,16,italy,first-semi-final,kyiv,2017
Sweden,2,5,6,1,3,italy,first-semi-final,kyiv,2017
Albania,17,16,17,17,16,latvia,first-semi-final,kyiv,2017
Armenia,7,11,7,4,7,latvia,first-semi-final,kyiv,2017
Australia,2,6,3,3,2,latvia,first-semi-final,kyiv,2017
Azerbaijan,15,12,12,7,4,latvia,first-semi-final,kyiv,2017
Belgium,13,2,5,9,5,latvia,first-semi-final,kyiv,2017
Cyprus,12,15,10,15,13,latvia,first-semi-final,kyiv,2017
Czechia,3,4,8,2,10,latvia,first-semi-final,kyiv,2017
Finland,14,3,15,10,8,latvia,first-semi-final,kyiv,2017
Georgia,11,10,11,12,11,latvia,first-semi-final,kyiv,2017
Greece,9,9,13,13,15,latvia,first-semi-final,kyiv,2017
Iceland,5,5,2,5,6,latvia,first-semi-final,kyiv,2017
Moldova,4,7,6,8,3,latvia,first-semi-final,kyiv,2017
Montenegro,16,17,16,16,17,latvia,first-semi-final,kyiv,2017
Poland,8,8,9,11,9,latvia,first-semi-final,kyiv,2017
Portugal,1,1,1,1,1,latvia,first-semi-final,kyiv,2017
Slovenia,6,14,14,14,14,latvia,first-semi-final,kyiv,2017
Sweden,10,13,4,6,12,latvia,first-semi-final,kyiv,2017
Albania,10,17,16,6,11,moldova,first-semi-final,kyiv,2017
Armenia,2,4,2,4,5,moldova,first-semi-final,kyiv,2017
Australia,5,3,7,7,7,moldova,first-semi-final,kyiv,2017
Azerbaijan,6,12,3,9,15,moldova,first-semi-final,kyiv,2017
Belgium,13,15,6,12,14,moldova,first-semi-final,kyiv,2017
Cyprus,14,6,15,15,13,moldova,first-semi-final,kyiv,2017
Czechia,15,14,14,11,6,moldova,first-semi-final,kyiv,2017
Finland,7,10,4,14,12,moldova,first-semi-final,kyiv,2017
Georgia,8,9,10,2,3,moldova,first-semi-final,kyiv,2017
Greece,4,8,5,5,4,moldova,first-semi-final,kyiv,2017
Iceland,11,13,9,10,8,moldova,first-semi-final,kyiv,2017
Latvia,17,11,11,16,9,moldova,first-semi-final,kyiv,2017
Montenegro,16,16,17,17,17,moldova,first-semi-final,kyiv,2017
Poland,9,7,12,13,10,moldova,first-semi-final,kyiv,2017
Portugal,1,1,1,1,1,moldova,first-semi-final,kyiv,2017
Slovenia,12,5,13,8,16,moldova,first-semi-final,kyiv,2017
Sweden,3,2,8,3,2,moldova,first-semi-final,kyiv,2017
Albania,1,7,1,8,10,montenegro,first-semi-final,kyiv,2017
Armenia,4,12,11,4,3,montenegro,first-semi-final,kyiv,2017
Australia,17,10,10,1,2,montenegro,first-semi-final,kyiv,2017
Azerbaijan,11,5,4,11,5,montenegro,first-semi-final,kyiv,2017
Belgium,7,4,14,14,15,montenegro,first-semi-final,kyiv,2017
Cyprus,12,11,3,16,14,montenegro,first-semi-final,kyiv,2017
Czechia,3,15,5,13,11,montenegro,first-semi-final,kyiv,2017
Finland,5,17,16,15,16,montenegro,first-semi-final,kyiv,2017
Georgia,14,3,15,10,8,montenegro,first-semi-final,kyiv,2017
Greece,8,1,8,5,1,montenegro,first-semi-final,kyiv,2017
Iceland,10,2,7,17,13,montenegro,first-semi-final,kyiv,2017
Latvia,6,16,6,12,17,montenegro,first-semi-final,kyiv,2017
Moldova,9,6,12,7,4,montenegro,first-semi-final,kyiv,2017
Poland,13,13,17,9,9,montenegro,first-semi-final,kyiv,2017
Portugal,15,9,2,6,7,montenegro,first-semi-final,kyiv,2017
Slovenia,16,8,9,3,12,montenegro,first-semi-final,kyiv,2017
Sweden,2,14,13,2,6,montenegro,first-semi-final,kyiv,2017
Albania,13,16,15,10,15,poland,first-semi-final,kyiv,2017
Armenia,3,12,5,5,6,poland,first-semi-final,kyiv,2017
Australia,1,3,9,3,4,poland,first-semi-final,kyiv,2017
Azerbaijan,6,6,11,12,14,poland,first-semi-final,kyiv,2017
Belgium,9,4,3,1,9,poland,first-semi-final,kyiv,2017
Cyprus,8,15,8,8,13,poland,first-semi-final,kyiv,2017
Czechia,12,5,14,7,7,poland,first-semi-final,kyiv,2017
Finland,4,11,10,11,11,poland,first-semi-final,kyiv,2017
Georgia,5,1,1,6,1,poland,first-semi-final,kyiv,2017
Greece,11,10,2,14,10,poland,first-semi-final,kyiv,2017
Iceland,7,13,12,13,8,poland,first-semi-final,kyiv,2017
Latvia,14,14,16,17,16,poland,first-semi-final,kyiv,2017
Moldova,17,7,13,4,12,poland,first-semi-final,kyiv,2017
Montenegro,15,17,17,16,17,poland,first-semi-final,kyiv,2017
Portugal,2,2,4,2,2,poland,first-semi-final,kyiv,2017
Slovenia,10,8,6,15,5,poland,first-semi-final,kyiv,2017
Sweden,16,9,7,9,3,poland,first-semi-final,kyiv,2017
Albania,17,15,15,17,15,portugal,first-semi-final,kyiv,2017
Armenia,14,6,12,7,3,portugal,first-semi-final,kyiv,2017
Australia,2,7,5,3,8,portugal,first-semi-final,kyiv,2017
Azerbaijan,1,1,3,13,5,portugal,first-semi-final,kyiv,2017
Belgium,15,11,4,15,16,portugal,first-semi-final,kyiv,2017
Cyprus,10,16,11,4,13,portugal,first-semi-final,kyiv,2017
Czechia,4,5,1,1,1,portugal,first-semi-final,kyiv,2017
Finland,3,2,7,6,6,portugal,first-semi-final,kyiv,2017
Georgia,12,4,14,11,4,portugal,first-semi-final,kyiv,2017
Greece,7,10,8,12,9,portugal,first-semi-final,kyiv,2017
Iceland,8,12,10,8,14,portugal,first-semi-final,kyiv,2017
Latvia,13,13,9,16,11,portugal,first-semi-final,kyiv,2017
Moldova,6,8,2,2,2,portugal,first-semi-final,kyiv,2017
Montenegro,11,17,17,9,17,portugal,first-semi-final,kyiv,2017
Poland,9,9,13,10,10,portugal,first-semi-final,kyiv,2017
Slovenia,16,14,16,14,12,portugal,first-semi-final,kyiv,2017
Sweden,5,3,6,5,7,portugal,first-semi-final,kyiv,2017
Albania,15,11,10,11,12,slovenia,first-semi-final,kyiv,2017
Armenia,7,13,6,8,11,slovenia,first-semi-final,kyiv,2017
Australia,3,2,9,2,2,slovenia,first-semi-final,kyiv,2017
Azerbaijan,11,10,4,6,9,slovenia,first-semi-final,kyiv,2017
Belgium,13,4,14,9,3,slovenia,first-semi-final,kyiv,2017
Cyprus,6,17,16,15,14,slovenia,first-semi-final,kyiv,2017
Czechia,4,9,1,3,5,slovenia,first-semi-final,kyiv,2017
Finland,10,5,5,4,4,slovenia,first-semi-final,kyiv,2017
Georgia,9,8,3,1,7,slovenia,first-semi-final,kyiv,2017
Greece,14,14,11,16,15,slovenia,first-semi-final,kyiv,2017
Iceland,12,12,7,10,8,slovenia,first-semi-final,kyiv,2017
Latvia,16,16,15,14,13,slovenia,first-semi-final,kyiv,2017
Moldova,8,7,13,13,16,slovenia,first-semi-final,kyiv,2017
Montenegro,17,15,17,17,17,slovenia,first-semi-final,kyiv,2017
Poland,5,6,8,7,6,slovenia,first-semi-final,kyiv,2017
Portugal,2,3,2,5,10,slovenia,first-semi-final,kyiv,2017
Sweden,1,1,12,12,1,slovenia,first-semi-final,kyiv,2017
Albania,16,16,15,12,15,spain,first-semi-final,kyiv,2017
Armenia,9,14,8,16,9,spain,first-semi-final,kyiv,2017
Australia,6,5,3,3,3,spain,first-semi-final,kyiv,2017
Azerbaijan,7,4,7,7,5,spain,first-semi-final,kyiv,2017
Belgium,15,13,4,10,10,spain,first-semi-final,kyiv,2017
Cyprus,12,12,16,15,16,spain,first-semi-final,kyiv,2017
Czechia,1,1,2,2,8,spain,first-semi-final,kyiv,2017
Finland,14,17,10,14,14,spain,first-semi-final,kyiv,2017
