Country,juror_A,juror_B,juror_C,juror_D,juror_E,act,night,city,year
Azerbaijan,12,10,2,13,4,cyprus,first-semi-final,stockholm,2016
BosniaHerzegovina,15,15,3,16,7,cyprus,first-semi-final,stockholm,2016
Croatia,7,7,4,7,5,cyprus,first-semi-final,stockholm,2016
Czechia,14,6,8,6,3,cyprus,first-semi-final,stockholm,2016
Estonia,3,12,11,11,15,cyprus,first-semi-final,stockholm,2016
Finland,10,9,14,8,13,cyprus,first-semi-final,stockholm,2016
Greece,4,4,15,5,17,cyprus,first-semi-final,stockholm,2016
Hungary,6,2,12,3,12,cyprus,first-semi-final,stockholm,2016
Iceland,11,13,7,10,9,cyprus,first-semi-final,stockholm,2016
Malta,2,5,5,4,8,cyprus,first-semi-final,stockholm,2016
Moldova,16,14,10,14,10,cyprus,first-semi-final,stockholm,2016
Montenegro,13,17,9,15,16,cyprus,first-semi-final,stockholm,2016
Netherlands,8,11,16,12,14,cyprus,first-semi-final,stockholm,2016
Russia,1,3,1,2,1,cyprus,first-semi-final,stockholm,2016
SanMarino,17,16,17,17,2,cyprus,first-semi-final,stockholm,2016
Armenia,12,12,16,11,10,czechia,first-semi-final,stockholm,2016
Austria,8,4,8,5,6,czechia,first-semi-final,stockholm,2016
Azerbaijan,9,11,9,8,9,czechia,first-semi-final,stockholm,2016
BosniaHerzegovina,7,7,10,14,14,czechia,first-semi-final,stockholm,2016
Croatia,4,5,6,7,7,czechia,first-semi-final,stockholm,2016
Cyprus,16,15,3,13,5,czechia,first-semi-final,stockholm,2016
Estonia,10,17,13,9,15,czechia,first-semi-final,stockholm,2016
Finland,5,1,5,12,4,czechia,first-semi-final,stockholm,2016
Greece,13,16,12,15,16,czechia,first-semi-final,stockholm,2016
Hungary,1,2,1,1,1,czechia,first-semi-final,stockholm,2016
Iceland,6,8,4,3,12,czechia,first-semi-final,stockholm,2016
Malta,3,6,11,4,3,czechia,first-semi-final,stockholm,2016
Moldova,11,13,17,10,8,czechia,first-semi-final,stockholm,2016
Montenegro,15,10,14,17,13,czechia,first-semi-final,stockholm,2016
Netherlands,2,3,2,2,2,czechia,first-semi-final,stockholm,2016
Russia,17,14,15,6,11,czechia,first-semi-final,stockholm,2016
SanMarino,14,9,7,16,17,czechia,first-semi-final,stockholm,2016
Armenia,12,11,4,7,6,estonia,first-semi-final,stockholm,2016
Austria,13,2,13,15,17,estonia,first-semi-final,stockholm,2016
Azerbaijan,1,8,6,8,5,estonia,first-semi-final,stockholm,2016
BosniaHerzegovina,11,17,15,16,15,estonia,first-semi-final,stockholm,2016
Croatia,15,9,11,1,4,estonia,first-semi-final,stockholm,2016
Cyprus,3,4,5,2,8,estonia,first-semi-final,stockholm,2016
Czechia,14,7,1,10,3,estonia,first-semi-final,stockholm,2016
